,Metric,mean,std,count,alpha,qt,Lower_Bound,Upper_Bound
0,Normal_Lost_Churn,1.1531835965824847e-06,6.621649712300058e-08,10,0.05,2.2621571627409915,1.1382043842566433e-06,1.1382043842566433e-06
1,Normal_Lost_Recall,1.1531835965824847e-06,6.621649712300058e-08,10,0.05,2.2621571627409915,1.1382043842566433e-06,1.1382043842566433e-06
2,Normal_Total_Lost,0.02181217693039638,0.0013672037512604373,10,0.05,2.2621571627409915,0.021502893954512367,0.021502893954512367
3,QN_Average_Line,0.4756542604556414,0.0979978421563027,10,0.05,2.2621571627409915,0.45348560839893726,0.45348560839893726
4,QN_Max_Line,47.3,19.58485809666914,10,0.05,2.2621571627409915,42.8695972975354,42.8695972975354
5,QN_Time_max,1239.1693034820746,141.34221745338948,10,0.05,2.2621571627409915,1207.1954725210867,1207.1954725210867
6,QN_Time_mean,15.690953422215188,4.993852348888715,10,0.05,2.2621571627409915,14.561265536144234,14.561265536144234
7,QS_Average_Line,0.2113713715209395,0.009697004403956601,10,0.05,2.2621571627409915,0.20917775672398536,0.20917775672398536
8,QS_Max_Line,9.2,1.398411797560202,10,0.05,2.2621571627409915,8.883657273568767,8.883657273568767
9,QS_Time_max,27.377652276548268,5.392189912111453,10,0.05,2.2621571627409915,26.157854173294005,26.157854173294005
10,QS_Time_mean,1.894963815788423,0.07315874262118509,10,0.05,2.2621571627409915,1.8784141584246592,1.8784141584246592
11,QTN_Average_Line,0.7341231790365471,0.10645933778557778,10,0.05,2.2621571627409915,0.7100404036853164,0.7100404036853164
12,QTN_Max_Line,30.3,11.585910984179593,10,0.05,2.2621571627409915,27.679084848025862,27.679084848025862
13,QTN_Time_max,197.00515527724684,55.9897599492614,10,0.05,2.2621571627409915,184.3393916263098,184.3393916263098
14,QTN_Time_mean,11.594875566397068,1.6077908228868614,10,0.05,2.2621571627409915,11.231168013778793,11.231168013778793
15,QTS_Average_Line,0.07094082501412731,0.009171534948490195,10,0.05,2.2621571627409915,0.06886607966642166,0.06886607966642166
16,QTS_Max_Line,4.9,0.9944289260117534,10,0.05,2.2621571627409915,4.675044548218568,4.675044548218568
17,QTS_Time_max,42.17077883804719,7.663996843886331,10,0.05,2.2621571627409915,40.43706230248501,40.43706230248501
18,QTS_Time_mean,2.763494846842983,0.29460367434017765,10,0.05,2.2621571627409915,2.696850865635138,2.696850865635138
19,RCN_Average_Line,8.10843178652583,2.283632899927204,10,0.05,2.2621571627409915,7.5918381343617,7.5918381343617
20,RCN_Max_Line,346.6,31.553129797216627,10,0.05,2.2621571627409915,339.46218614223307,339.46218614223307
21,RCN_Time_max,636.3025869360083,296.4854004103345,10,0.05,2.2621571627409915,569.2329297173715,569.2329297173715
22,RCN_Time_mean,175.86479416578757,119.76296778961313,10,0.05,2.2621571627409915,148.77252862414838,148.77252862414838
23,RCS_Average_Line,0.5057237539263058,0.423588349594607,10,0.05,2.2621571627409915,0.4099014120173982,0.4099014120173982
24,RCS_Max_Line,35.6,11.62564215669636,10,0.05,2.2621571627409915,32.97009703237657,32.97009703237657
25,RCS_Time_max,22.478087354174203,10.568885324503881,10,0.05,2.2621571627409915,20.087239390272742,20.087239390272742
26,RCS_Time_mean,5.716899069917082,1.7350734655998863,10,0.05,2.2621571627409915,5.32439818310822,5.32439818310822
27,SN_Productivity,0.678061626911257,0.004809198415188125,10,0.05,2.2621571627409915,0.676973710647061,0.676973710647061
28,SS_Productivity,0.6107283094829306,0.0034771026389673163,10,0.05,2.2621571627409915,0.609941734218898,0.609941734218898
29,Special_Customers_NoLine,0.3694142044290495,0.009493175197232804,10,0.05,2.2621571627409915,0.36726669900209197,0.36726669900209197
30,Special_Customers_TotalTime,8.346193940790334,0.12509566680212128,10,0.05,2.2621571627409915,8.317895334921905,8.317895334921905
31,Special_Lost_Churn,1.2185812724663553e-06,1.5669427184408185e-07,10,0.05,2.2621571627409915,1.1831345655250978e-06,1.1831345655250978e-06
32,Special_Lost_Recall,1.2185812724663553e-06,1.5669427184408185e-07,10,0.05,2.2621571627409915,1.1831345655250978e-06,1.1831345655250978e-06
33,Special_Total_Lost,0.009995086288892462,0.0014171670319127955,10,0.05,2.2621571627409915,0.00967450083368827,0.00967450083368827
34,TS_Productivity,0.46570112960188814,0.006153486965603958,10,0.05,2.2621571627409915,0.46430911414038073,0.46430911414038073
